Material Name,Chemical Formula,Category,Phase Note,Equation Type,Valid T Min (K),Valid T Max (K),A,B,C,D,E,Data Source / Citation
Glass Ceramic (Zerodur),SiO2-Al2O3-Li2O,Glasses,Solid / Crystalline,Polynomial,200,600,820,0.65,0,0,0,MatWeb — Schott Zerodur Glass Ceramic Data
Glass Ceramic (Macor),SiO2-Al2O3-MgO-K2O-F,Glasses,Solid / Crystalline,Polynomial,200,800,790,0.68,0,0,0,Corning Technical Database — Corning Macor Machinable Glass
Phosphate Glass,P2O5-Al2O3-Na2O,Glasses,Solid / Crystalline,Polynomial,273,700,710,0.62,0,0,0,Springer Open Data — Laser Phosphate Glass Properties
Germanate Glass,GeO2-PbO,Glasses,Solid / Crystalline,Polynomial,273,750,480,0.38,0,0,0,AZoM Materials Database — Infrared Glasses Handbook
Tellurite Glass,TeO2-WO3-La2O3,Glasses,Solid / Crystalline,Polynomial,273,650,390,0.32,0,0,0,Springer Open Data — Non-Oxide Glass Materials Data
Magnesia (Periclase),MgO,Refractories,Solid / Crystalline,Shomate,298,2000,47.26,5.68,-0.87,0.05,-0.88,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
Zirconia (Monoclinic),ZrO2,Refractories,Solid / Crystalline,Shomate,298,1478,69.62,11.23,-2.34,0.18,-1.42,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Hafnium Carbide,HfC,Refractories,Solid / Crystalline,Shomate,298,2500,47.85,7.12,-1.25,0.09,-1.05,NIST JANAF — NIST-JANAF Thermochemical Tables
Tantalum Carbide,TaC,Refractories,Solid / Crystalline,Shomate,298,2500,46.92,8.45,-1.62,0.14,-0.95,Materials Project — Materials Project Database (mp-1986)
Spinel,MgAl2O4,Refractories,Solid / Crystalline,Shomate,298,2000,152.3,32.4,-8.15,0.75,-4.25,NIST JANAF — NIST-JANAF Thermochemical Tables
Chromite,FeCr2O4,Refractories,Solid / Crystalline,Shomate,298,1800,155.8,28.4,-6.95,0.58,-3.85,NIST JANAF — NIST-JANAF Thermochemical Tables
Forsterite,Mg2SiO4,Refractories,Solid / Crystalline,Shomate,298,1800,148.5,35.2,-9.15,0.82,-3.95,NIST JANAF — NIST-JANAF Thermochemical Tables
Enstatite,MgSiO3,Refractories,Solid / Crystalline,Shomate,298,1600,88.12,25.4,-7.15,0.78,-1.92,NIST JANAF — NIST-JANAF Thermochemical Tables
Calcium Oxide (Lime),CaO,Refractories,Solid / Crystalline,Shomate,298,2000,49.62,4.45,-0.65,0.04,-0.78,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Dolomite (Calcined),CaO-MgO,Refractories,Solid / Crystalline,Polynomial,298,1800,880,0.22,0,0,0,AZoM Materials Database — Refractory Raw Materials Data
Aluminum Titanate,Al2TiO5,Refractories,Solid / Crystalline,Shomate,298,1600,175.4,38.2,-9.85,0.92,-4.15,Materials Project — Materials Project Database (mp-5234)
Hafnium Diboride,HfB2,Refractories,Solid / Crystalline,Shomate,298,2200,65.4,18.2,-4.95,0.45,-1.85,Materials Project — Materials Project Database (mp-2326)
Tantalum Diboride,TaB2,Refractories,Solid / Crystalline,Shomate,298,2200,66.8,17.5,-4.65,0.41,-1.78,Materials Project — Materials Project Database (mp-2780)
Hafnia,HfO2,Refractories,Solid / Crystalline,Shomate,298,2000,72.45,9.85,-1.95,0.15,-1.35,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Thoria,ThO2,Refractories,Solid / Crystalline,Shomate,298,2500,70.12,11.45,-2.45,0.18,-1.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Carbon Fiber / Epoxy (CFRP UD),C/Epoxy,Composite materials,Condensed,Polynomial,200,450,900,2.1,0,0,0,AZoM Materials Database — AZoM Composite Materials Data
Glass Fiber / Epoxy (GFRP),Glass/Epoxy,Composite materials,Condensed,Polynomial,200,450,850,1.85,0,0,0,MatWeb — MatWeb Composite Material Property Data
Aramid / Epoxy (Kevlar/Epoxy),Aramid/Epoxy,Composite materials,Condensed,Polynomial,200,450,1100,2.4,0,0,0,AZoM Materials Database — DuPont Kevlar Composites Guide
Carbon/Carbon Composite (C/C),C/C,Composite materials,Solid / Crystalline,Polynomial,298,2000,710,1.25,-0.0003,0,0,MatWeb — MatWeb C/C High-Temp Properties
Alumina / Silicon Carbide (Al2O3/SiC),Al2O3-SiC,Composite materials,Solid / Crystalline,Polynomial,298,1400,780,0.42,0,0,0,AZoM Materials Database — Ceramic Matrix Composites Data
Silicon Carbide / Silicon Carbide (SiC/SiC),SiC/SiC,Composite materials,Solid / Crystalline,Polynomial,298,1600,680,0.48,0,0,0,AZoM Materials Database — Nuclear Grade SiC/SiC Composites
Al/SiC Metal Matrix Composite (20% SiC),Al-20SiC,Composite materials,Solid / Crystalline,Polynomial,298,800,820,0.41,0,0,0,MatWeb — MatWeb MMC Aluminum Matrix Data
Al/Al2O3 Metal Matrix Composite,Al-Al2O3,Composite materials,Solid / Crystalline,Polynomial,298,800,840,0.38,0,0,0,MatWeb — MatWeb MMC Properties
Tungsten Carbide / Cobalt (WC-6Co),WC-6Co,Composite materials,Solid / Crystalline,Polynomial,298,1000,220,0.12,0,0,0,AZoM Materials Database — Cemented Carbides Handbook
Tungsten Carbide / Cobalt (WC-12Co),WC-12Co,Composite materials,Solid / Crystalline,Polynomial,298,1000,245,0.14,0,0,0,AZoM Materials Database — Cemented Carbides Handbook
TiC-Ni Cermet,TiC-Ni,Composite materials,Solid / Crystalline,Polynomial,298,1100,460,0.22,0,0,0,MatWeb — MatWeb Cermet Tool Materials
Wood-Plastic Composite (WPC),Wood-HDPE,Composite materials,Condensed,Polynomial,200,360,1500,3.8,0,0,0,MatWeb — WPC Material Property Datasheet
Basalt Fiber / Epoxy Composite,Basalt/Epoxy,Composite materials,Condensed,Polynomial,200,450,870,1.75,0,0,0,AZoM Materials Database — Basalt Fiber Composites Data
Boron / Aluminum Composite,B/Al,Composite materials,Solid / Crystalline,Polynomial,298,750,810,0.35,0,0,0,MatWeb — Aerospace Boron MMC Data
Carbon Fiber / PEEK (AS4/PEEK),AS4/PEEK,Composite materials,Solid / Crystalline,Polynomial,200,550,1050,2.15,0,0,0,MatWeb — Victrex PEEK Composite Materials
Lithium Cobalt Oxide (LCO),LiCoO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,74.25,28.42,-12.15,1.85,-1.45,Materials Project — Materials Project Database (mp-22526)
Lithium Iron Phosphate (LFP),LiFePO4,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,142.5,45.2,-16.8,2.15,-2.85,Materials Project — Materials Project Database (mp-19017)
Lithium Manganese Oxide (LMO),LiMn2O4,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,155.2,48.5,-18.4,2.45,-3.12,Materials Project — Materials Project Database (mp-22584)
Lithium Titanate (LTO),Li4Ti5O12,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1100,385.4,98.5,-32.4,3.85,-7.45,Materials Project — Materials Project Database (mp-768653)
Lithium Nickel Manganese Cobalt (NMC111),LiNi0.33Mn0.33Co0.33O2,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,600,820,0.45,0,0,0,Springer Open Data — Battery Materials Handbook
Lithium Nickel Cobalt Al Oxide (NCA),LiNi0.8Co0.15Al0.05O2,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,600,840,0.48,0,0,0,Springer Open Data — Battery Materials Handbook
Graphite (Synthetic),C,Other technologically relevant materials,Solid / Crystalline,Shomate,298,3000,18.45,24.12,-10.85,1.65,-0.45,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Solid Electrolyte LLZO,Li7La3Zr2O12,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,420.5,112.4,-38.5,4.15,-8.5,Materials Project — Materials Project Database (mp-942733)
Solid Electrolyte LGPS,Li10GeP2S12,Other technologically relevant materials,Solid / Crystalline,Shomate,298,800,520.4,145.2,-48.5,5.12,-10.2,Materials Project — Materials Project Database (mp-696128)
Solid Electrolyte NaSICON,Na3Zr2Si2PO12,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,395.2,95.4,-28.5,3.2,-7.8,Materials Project — Materials Project Database (mp-777322)
Bismuth Telluride,Bi2Te3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,850,118.4,22.15,-5.12,0.45,-1.12,Springer Open Data — SpringerMaterials Thermoelectrics
Lead Telluride (Thermoelectric),PbTe,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,49.12,4.25,-0.32,0.01,-0.14,Materials Project — Materials Project Database (mp-1979)
Cobalt Antimonide (Skutterudite),CoSb3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,900,96.5,18.4,-3.85,0.35,-1.25,AFLOW Database — AFLOW Materials Database
Silicon Germanium (p-type TE),Si0.7Ge0.3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1300,23.1,4.25,-0.35,-0.18,-0.28,NASA Glenn Thermodynamic Database — NASA High-Temp Thermoelectrics
Tin Selenide,SnSe,Other technologically relevant materials,Solid / Crystalline,Shomate,298,950,48.15,6.85,-0.95,0.08,-0.25,Materials Project — Materials Project Database (mp-2691)
YBCO Superconductor,YBa2Cu3O7,Other technologically relevant materials,Solid / Crystalline,Shomate,200,800,275.4,85.2,-24.5,2.8,-5.2,Materials Project — Materials Project Database (mp-20674)
BSCCO Superconductor,Bi2Sr2CaCu2O8,Other technologically relevant materials,Solid / Crystalline,Shomate,200,800,310.2,95.4,-28.2,3.1,-6.1,Springer Open Data — High-Tc Superconductors Database
Magnesium Diboride,MgB2,Other technologically relevant materials,Solid / Crystalline,Shomate,200,800,48.5,28.4,-8.5,0.95,-1.12,Materials Project — Materials Project Database (mp-763)
Niobium-Titanium (Superconductor),Nb-47Ti,Other technologically relevant materials,Solid / Crystalline,Polynomial,100,600,380,0.25,0,0,0,MatWeb — MatWeb Superconducting Alloys
Niobium-Tin (Nb3Sn),Nb3Sn,Other technologically relevant materials,Solid / Crystalline,Shomate,100,800,92.4,18.5,-4.2,0.38,-0.85,AFLOW Database — AFLOW Materials Database
Uranium Dioxide (Nuclear Fuel),UO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,2500,65.45,18.5,-5.2,0.55,-1.25,NIST JANAF — NIST-JANAF Thermochemical Tables
Plutonium Dioxide,PuO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,2000,66.2,17.8,-4.8,0.48,-1.18,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Thorium Dioxide,ThO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,2500,70.12,11.45,-2.45,0.18,-1.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Zircaloy-4 (Nuclear Cladding),Zr-1.5Sn-0.2Fe-0.1Cr,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,1200,285,0.11,0,0,0,MatWeb — MatWeb Nuclear Materials Data
Lithium Hydride,LiH,Other technologically relevant materials,Solid / Crystalline,Shomate,298,950,28.45,32.1,-11.2,1.45,-0.45,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Sodium Metal (Coolant),Na,Other technologically relevant materials,Condensed,Shomate,298,371,26.98,1.65,-0.25,0.02,-0.08,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Lead-Bismuth Eutectic (LBE),45Pb-55Bi,Other technologically relevant materials,Solid / Crystalline,Polynomial,400,1000,146,0.015,0,0,0,OECD/NEA Handbook — Handbook on Lead-bismuth Eutectic
Liquid Gallium,Ga,Other technologically relevant materials,Solid / Crystalline,Polynomial,303,1000,385,-0.035,0,0,0,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Diamond (Crystalline),C,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,9.12,35.4,-18.2,2.95,-0.15,NIST JANAF — NIST-JANAF Thermochemical Tables
Graphene (Monolayer),C,Other technologically relevant materials,Solid / Crystalline,Polynomial,200,1000,550,1.85,-0.0004,0,0,Springer Open Data — 2D Materials Property Handbook
Hexagonal Boron Nitride (h-BN),BN,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1800,23.45,25.12,-9.84,1.45,-0.85,NIST JANAF — NIST-JANAF Thermochemical Tables
MAX Phase (Ti3SiC2),Ti3SiC2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,135.4,42.1,-11.5,1.12,-2.85,Materials Project — Materials Project Database (mp-2303)
MAX Phase (Ti2AlC),Ti2AlC,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,98.5,28.4,-7.2,0.75,-1.95,Materials Project — Materials Project Database (mp-3186)
MAX Phase (Cr2AlC),Cr2AlC,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,102.1,31.2,-8.1,0.82,-2.15,Materials Project — Materials Project Database (mp-3185)
MXene (Ti3C2Tx),Ti3C2T,Other technologically relevant materials,Solid / Crystalline,Polynomial,200,800,620,0.45,0,0,0,Springer Open Data — 2D MXenes Property Database
Barium Ferrite (Permanent Magnet),BaFe12O19,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1200,685.2,195.4,-58.5,6.2,-14.8,Materials Project — Materials Project Database (mp-24831)
Strontium Ferrite,SrFe12O19,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1200,678.5,190.2,-56.8,5.9,-14.2,Materials Project — Materials Project Database (mp-24832)
Neodymium Magnet (Nd2Fe14B),Nd2Fe14B,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,600,440,0.18,0,0,0,MatWeb — MatWeb Permanent Magnet Data
Samarium-Cobalt (SmCo5),SmCo5,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,700,370,0.15,0,0,0,MatWeb — MatWeb SmCo Magnetic Materials
Alnico 5 (Magnetic Alloy),Al-Ni-Co-Fe-Cu,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,800,460,0.21,0,0,0,MatWeb — MatWeb Magnetic Alloys Data
Permalloy (Ni80Fe20),Ni80Fe20,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,800,450,0.22,0,0,0,MatWeb — MatWeb Soft Magnetic Alloys
Mu-Metal,Ni77Fe16Cu5Mo2,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,800,430,0.24,0,0,0,MatWeb — MatWeb Shielding Materials Data
Iron-Silicon Electrical Steel (Fe-3%Si),Fe-3Si,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,1000,460,0.26,0,0,0,MatWeb — MatWeb Electrical Steels
Amorphous Metal (Metglas 2605SA1),Fe-Si-B,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,650,480,0.25,0,0,0,MatWeb — Metglas Inc. Technical Data
Ferrite (Mn-Zn Ferrite),Mn0.5Zn0.5Fe2O4,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,600,750,0.35,0,0,0,MatWeb — Fair-Rite MnZn Ferrite Specs
Lanthanum Hexaboride,LaB6,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1800,108.5,24.5,-6.15,0.58,-2.45,Materials Project — Materials Project Database (mp-1840)
Cerium Hexaboride,CeB6,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1800,107.8,25.1,-6.35,0.61,-2.38,AFLOW Database — AFLOW Materials Database
Barium Fluoride (Optical),BaF2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,68.45,12.45,-2.85,0.25,-0.85,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Calcium Fluoride (Fluorite),CaF2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1600,67.12,11.85,-2.45,0.21,-0.92,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Magnesium Fluoride,MgF2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1500,64.85,14.12,-3.45,0.32,-1.15,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Lithium Fluoride,LiF,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1100,41.25,15.85,-4.12,0.45,-0.65,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Zinc Sulfide (CVD Cleartran),ZnS,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1200,44.15,8.65,-1.45,0.12,-0.48,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Sapphire (Synthetic Al2O3),Al2O3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1800,102.429,38.749,-15.91,2.628,-3.007,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
YAG (Yttrium Aluminum Garnet),Y3Al5O12,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1600,415.2,95.4,-28.5,2.85,-8.15,Materials Project — Materials Project Database (mp-3082)
Nd:YAG Laser Crystal,Nd:Y3Al5O12,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,1000,600,0.45,0,0,0,AZoM Materials Database — Laser Crystal Materials Data
Lithium Niobate,LiNbO3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1400,108.4,26.5,-7.8,0.82,-2.15,Materials Project — Materials Project Database (mp-3731)
Lithium Tantalate,LiTaO3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1400,109.5,24.2,-6.9,0.71,-1.95,Materials Project — Materials Project Database (mp-3694)
Potassium Titanyl Phosphate (KTP),KTiOPO4,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1200,165.4,42.1,-12.8,1.45,-3.45,Materials Project — Materials Project Database (mp-5415)
Beta-Barium Borate (BBO),BaB2O4,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1100,135.2,36.8,-10.4,1.15,-2.75,Materials Project — Materials Project Database (mp-8422)
Germanium Dioxide (Rutile),GeO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1300,65.4,16.2,-4.8,0.52,-1.35,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Tellurium Dioxide (Paratellurite),TeO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1000,64.8,18.4,-5.4,0.61,-1.42,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Vanadium(IV) Oxide (VO2),VO2,Other technologically relevant materials,Solid / Crystalline,Shomate,298,900,62.5,19.8,-6.2,0.74,-1.25,Materials Project — Materials Project Database (mp-315)
Tungsten Trioxide (Electrochromic),WO3,Other technologically relevant materials,Solid / Crystalline,Shomate,298,1400,72.4,24.5,-7.8,0.89,-1.65,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Indium Tin Oxide (ITO),In2O3-10SnO2,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,900,380,0.18,0,0,0,MatWeb — MatWeb Transparent Conducting Oxides
Fluorine-Doped Tin Oxide (FTO),SnO2:F,Other technologically relevant materials,Solid / Crystalline,Polynomial,298,900,350,0.19,0,0,0,MatWeb — MatWeb TCO Thin Films
